"state","foodcostavg","participationavg","formulaavg"
"Texas",30,415664,109499
"Inter-Tribal Council, NV",31,725,232
"Wyoming",31,5126,1699
"Iowa",31,31294,11249
"Chickasaw Nation, OK",32,1910,729
"Ohio",32,105480,62291
"New Hampshire",33,7681,2318
"Wichita, Caddo & Delaware (WCD), OK",35,2192,728
"Idaho",35,20523,5118
"New Mexico",35,24873,8240
"Oklahoma",35,41899,17160
"Virginia",35,63990,27640
"Seneca Nation, NY",36,79,47
"Choctaw Nation, OK",36,2192,794
"Nevada",36,35971,11519
"Missouri",36,60661,27255
"Indiana",36,75486,30233
"Eastern Cherokee, NC",37,340,95
"Cherokee Nation, OK",37,3460,1666
"Oregon",37,50926,12038
"Citizen Potawatomi Nation, OK",38,636,264
"Utah",38,29473,7898
"Kansas",38,30456,10602
"Mountain Plains",38,248313,88330
"Muscogee Creek Nation, OK",39,1633,491
"Inter-Tribal Council, AZ",39,5240,1673
"Massachusetts",39,63369,16774
"Michigan",39,124730,45475
"Choctaw Indians, MS",40,421,154
"Delaware",40,8876,3710
"Maine",40,11304,3467
"Kentucky",40,56357,23912
"Georgia",40,132273,41011
"Nebraska",41,19890,6303
"West Virginia",41,20227,8780
"Colorado",41,43970,14305
"Wisconsin",41,53755,18830
"Otoe-Missouria Tribe, OK",42,254,90
"Montana",42,9397,3105
"Tennessee",42,64650,32295
"Washington",42,95090,19882
"Florida",42,244489,80098
"District of Columbia",43,6327,2422
"Arkansas",43,36343,20084
"North Carolina",43,122383,41676
"Minnesota",44,63363,16749
"Maryland",44,72900,20641
"Pennsylvania",44,121400,51081
"South Dakota",45,9200,3027
"Rhode Island",45,10870,3924
"South Carolina",45,48939,23798
"Arizona",45,73731,25885
"Northern Arapahoe, WY",46,245,83
"North Dakota",46,6373,2038
"Alabama",46,62908,30140
"California",46,666026,147062
"Navajo Nation, AZ",47,5122,1037
"Louisiana",47,57203,33008
"Isleta Pueblo, NM",48,568,202
"Vermont",48,7558,1358
"Osage Tribal Council, OK",49,1322,739
"Zuni Pueblo, NM",50,421,42
"Acoma, Canoncito & Laguna, NM",52,216,51
"Illinois",52,107490,47127
"Alaska",53,10182,2457
"Hawaii",53,15725,4620
"New Jersey",53,83836,20194
"New York",53,245683,59615
"Mississippi",54,38917,22003
"Five Sandoval Pueblos, NM",55,123,53
"Inter-Tribal Council, OK",55,460,154
"Rosebud Sioux, SD",57,680,210
"Ute Mountain Ute Tribe, CO",58,102,45
"Standing Rock Sioux Tribe, ND",60,407,128
"Eight Northern Pueblos, NM",61,129,49
"Cheyenne River Sioux, SD",61,485,123
"Indian Township, ME",62,43,11
"Pleasant Point, ME",63,34,11
"Winnebago Tribe, NE",64,145,52
"San Felipe Pueblo, NM",69,165,35
"Northern Marianas",71,2031,334
"Santee Sioux, NE",72,74,28
"American Samoa",75,3893,463
"Omaha Sioux, NE",76,162,53
"Guam",78,3838,1218
"Virgin Islands",79,2199,372
"Shoshone Tribe, WY",81,75,46
"Three Affiliated Tribes, ND",83,99,82
"Puerto Rico",88,99373,18511
"Santo Domingo Tribe, NM",89,103,21
