"state","foodcostavg","participationavg","formulaavg","region"
"Texas",30,415664,109499,"South"
"Wyoming",31,5126,1699,"West"
"Iowa",31,31294,11249,"Midwest"
"Ohio",32,105480,62291,"Midwest"
"New Hampshire",33,7681,2318,"Northeast"
"Idaho",35,20523,5118,"West"
"New Mexico",35,24873,8240,"West"
"Oklahoma",35,41899,17160,"South"
"Virginia",35,63990,27640,"South"
"Nevada",36,35971,11519,"West"
"Missouri",36,60661,27255,"Midwest"
"Indiana",36,75486,30233,"Midwest"
"Oregon",37,50926,12038,"West"
"Utah",38,29473,7898,"West"
"Kansas",38,30456,10602,"Midwest"
"Massachusetts",39,63369,16774,"Northeast"
"Michigan",39,124730,45475,"Midwest"
"Delaware",40,8876,3710,"South"
"Maine",40,11304,3467,"Northeast"
"Kentucky",40,56357,23912,"South"
"Georgia",40,132273,41011,"South"
"Nebraska",41,19890,6303,"Midwest"
"West Virginia",41,20227,8780,"South"
"Colorado",41,43970,14305,"West"
"Wisconsin",41,53755,18830,"Midwest"
"Montana",42,9397,3105,"West"
"Tennessee",42,64650,32295,"South"
"Washington",42,95090,19882,"West"
"Florida",42,244489,80098,"South"
"District of Columbia",43,6327,2422,"South"
"Arkansas",43,36343,20084,"South"
"North Carolina",43,122383,41676,"South"
"Minnesota",44,63363,16749,"Midwest"
"Maryland",44,72900,20641,"South"
"Pennsylvania",44,121400,51081,"Northeast"
"South Dakota",45,9200,3027,"Midwest"
"Rhode Island",45,10870,3924,"Northeast"
"South Carolina",45,48939,23798,"South"
"Arizona",45,73731,25885,"West"
"North Dakota",46,6373,2038,"Midwest"
"Alabama",46,62908,30140,"South"
"California",46,666026,147062,"West"
"Louisiana",47,57203,33008,"South"
"Vermont",48,7558,1358,"Northeast"
"Illinois",52,107490,47127,"Midwest"
"Alaska",53,10182,2457,"West"
"Hawaii",53,15725,4620,"West"
"New Jersey",53,83836,20194,"Northeast"
"New York",53,245683,59615,"Northeast"
"Mississippi",54,38917,22003,"South"
